,link,price,title,address,type,rooms,bathroom,services_Électricité,parking_spots,utilities,furnished,size,air_conditioned,allow_pets
30,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-saint-leonard-2eme-etage/1555623423,,,,,,,,0,,False,,False,
31,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-fabre-1-375-tres-grd-5-1-2-chauffage-eau-ch-incl-1-juil/1555623356,1375.00,"Metro Fabre, $1,375,Tres grd 5 1/2 Chauffage&Eau ch,incl 1 juil.",", montrea H2E2M5 QC, Canada",Appartement,5 1/2,1,False,0,,False,950,False,Non
32,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer/1555623313,1290.00,Condo à louer,"7731 Rue Louis Quilico, Saint-Léonard, QC H1S 3E6, Canada",Condo,3 1/2,1,False,1,"Buanderie (dans l'appartement), , Lave-vaisselle, ",False,800,True,Non
33,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nice-large-sunny-duplex-2-bdr-garden-deck-7-appliances-ndg/1546642166,1495.00,"Nice Large Sunny duplex, 2 BDR, garden/deck, 7 appliances, NDG","Avenue Connaught, Montréal, QC H4B 1X1, Canada",Duplex/Triplex,4 1/2,1,False,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,950,False,Oui
34,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/basement-bachelor-570-1st-april-st-pierre-lachine/1555622782,570.00,"Basement bachelor 570$. 1st April. St-Pierre, Lachine","25 Avenue Gowans, Lachine, QC H8R 1R7, Canada",Appartement,1 ½ ou 2 ½,1,True,0,", Buanderie (dans l'immeuble), , ",False,260,False,Non
35,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-apartment-for-rent-lease-transfer-suitable-for-students/1555622578,1120.00,"4 1/2 apartment for rent(Lease transfer)
Suitable for students","Chemin Queen Mary, Montréal, QC H3W 1Y3, Canada",Appartement,4 1/2,1,True,0,"Buanderie (dans l'appartement), Buanderie (dans l'immeuble), , Réfrigérateur / congélateur",False,800,False,Non
36,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-bedroom-apartment-lease-transfer-in-homa/1555622570,1480.00,3 Bedroom Apartment - Lease Transfer in HOMA,"3504 Rue de Rouen, Montréal, QC H1W 1L9, Canada",Appartement,5 1/2 et coin détente,1,,0,,False,1 100,False,Oui
37,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/echange-swap-4-1-2-rdc-plateau-contre-5-1-2-et-plus/1555622469,1170.00,ÉCHANGE/SWAP 4 1/2 RDC Plateau contre 5 1/2 et plus...,"H2H1X2, Canada",Appartement,4 1/2,1,False,0,"Buanderie (dans l'appartement), , Lave-vaisselle, ",False,1 000,False,Non
38,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-tdc3-2-bed-2-bath-1000-sqft-corner-condo/1555622027,,New TDC3 2 bed 2 bath 1000+ sqft. corner condo,"1288 Rue Saint-Antoine O, Montréal, QC H3C 1C2, Canada",Condo,4 1/2 et coin détente,2,False,1,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,1 021,True,Limité
39,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-5-1-2-grand-jardin-renove-2021/1555622008,1560.00,Appartement 5 1/2 (Grand + Jardin)  rénové 2021,"7072 montjoie, H1S2L5, montréal, QC",Duplex/Triplex,5 1/2,1,,1,,True,1 300,False,Limité
40,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-2-chambres-fermees-avec-porte-patio-renove-a-neuf/1555621667,1500.00,"Grand 5 1/2, 2 chambres fermées avec porte patio, Rénové à neuf","Montréal, QC H1V 1R8, Canada",Appartement,5 1/2,1,,0,"Buanderie (dans l'appartement), , Lave-vaisselle, ",False,1 050,False,Limité
41,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/beautiful-5-1-2-in-st-hubert-with-back-yard-balcony/1555621067,1500.00,Beautiful 5 1/2 in st- hubert with back yard & balcony,"3369 Mackay, J4T2N9, Saint-Hubert, QC",Duplex/Triplex,5 1/2,1,,2,"Buanderie (dans l'appartement), , , Réfrigérateur / congélateur",True,1 200,True,Non
42,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-haut-de-gamme-au-coeur-de-rosemont-la-petite-patrie/1555620547,3650.00,Appartement haut de gamme au coeur de Rosemont La Petite Patrie,"H2G1J9, Canada",Appartement,6 1/2 et coin détente,1.5,True,1,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",True,2 200,True,Non
43,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/lasalle:-beau-3-1-2-1er-etage-renove-4-electrons-sofa/1555620306,1000.00,"Lasalle: Beau 3 1/2,  1er étage, rénové,4 électrons, sofa","111 9e Av, LaSalle, QC H8P 2N7, Canada",Appartement,3 1/2,1,,0,"Buanderie (dans l'appartement), , , Réfrigérateur / congélateur",False,600,False,Non
44,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-et-demi-a-louer-ahuntsic/1555619751,920.00,4 et demi à louer - Ahuntsic,", H2B2N8, Ahuntsic, QC, Canada",Appartement,4 1/2,1,,0,,False,840,False,Non
45,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/dispo-immed-condo-3-1-2-parking-int-electros-balcon-rosemont/1554663182,1245.00,"Dispo imméd. Condo 3 1/2 parking int, électros, balcon. Rosemont","rue d'iberville, H2G 2B8, Montréal, QC",Condo,3 1/2,1,False,1,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,515,True,Limité
46,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grands-4-1-2-neufs-metro-viau-1er-avri-1er-mai-ou-1er-juillet/1549554306,1600.00,"Grands 4 1/2 Neufs Metro Viau (1er Avri, 1er Mai ou 1er Juillet)","2139 Rue Sicard, Montréal, QC H1V 2Y3, Canada",Appartement,4 1/2,1,,0,"Buanderie (dans l'appartement), Buanderie (dans l'immeuble), Lave-vaisselle, Réfrigérateur / congélateur",False,950,True,Non
47,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-sud-ouest-en-construction/1555286064,1450.00,4 1/2 Sud Ouest/ En construction,"5985 Rue Eadie, Montréal, QC H4E 3V2, Canada",Condo,4 1/2,1,,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,850,True,Limité
48,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-min-from-metro-renovated-4-1-2-appartment-heart-of-verdun/1554689103,1200.00,5 MIN FROM METRO.Renovated 4 1/2 appartment heart of Verdun,"374 4e Avenue, Verdun, QC H4G 2Y2, Canada",Appartement,4 1/2 et coin détente,1,,0,,False,900,False,Limité
49,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-condo-petite-italie-2-cac-fermer-salle-a-manger/1552432583,1988.00,5 1/2  CONDO  Petite Italie 2 Cac Fermer Salle a Manger,"101 Avenue Mozart O, Montréal, QC H2S 1C5, Canada",Condo,4 1/2 et coin détente,1,,1,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",True,1 198,True,Non
50,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/room-for-rent-chambre/1555631506,525.00,Room for rent / Chambre,"Avenue Auteuil, Brossard, QC J4Z 1M7, Canada",Appartement,4 1/2,1,True,0,"Buanderie (dans l'appartement), , , Réfrigérateur / congélateur",True,1,False,Limité
51,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nice-and-clean-two-bed-room-for-rent-in-marchclose-to-metro/1555631412,1400.00,nice and clean two bed room for rent in Marchclose to metro,"7031 Rue Louis-Hébert, LaSalle, QC H8N 3E9, Canada",Condo,4 1/2,1,,1,"Buanderie (dans l'appartement), , , ",True,900,True,Non
